MODEL_CATALOG	MODEL_SCHEMA	MODEL_NAME	ATTRIBUTE_NAME	NODE_NAME	NODE_UNIQUE_NAME	NODE_TYPE	NODE_GUID	NODE_CAPTION	CHILDREN_CARDINALITY	PARENT_UNIQUE_NAME	NODE_DESCRIPTION	NODE_RULE	MARGINAL_RULE	NODE_PROBABILITY	MARGINAL_PROBABILITY	NODE_DISTRIBUTION	NODE_SUPPORT	MSOLAP_MODEL_COLUMN	MSOLAP_NODE_SCORE	MSOLAP_NODE_SHORT_CAPTION
Analysis Services Project2		Process Events		1194	1194	7		Parent = Unknown Process, User Domain Name = NT AUTHORITY, Duration < 2827	0	0	Parent = Unknown Process, User Domain Name = NT AUTHORITY, Duration < 2827			0,52956409412739613	0,52956409412739613	NODE_DISTRIBUTION	86911		0,6312594660294909	
Analysis Services Project2		Process Events		1192	1192	7		Parent = Unknown Process, User Name = SYSTEM, Duration < 2827	0	0	Parent = Unknown Process, User Name = SYSTEM, Duration < 2827			0,52956409412739613	0,52956409412739613	NODE_DISTRIBUTION	86911		0,6312594660294909	
Analysis Services Project2		Process Events		1176	1176	7		Process = HPBPRO.EXE, Status = Process Run	0	0	Process = HPBPRO.EXE, Status = Process Run			0,35652396446459256	0,35652396446459256	NODE_DISTRIBUTION	58512		1	
Analysis Services Project2		Process Events		95	95	7		Process = HPBPRO.EXE	0	0	Process = HPBPRO.EXE			0,35652396446459256	0,35652396446459256	NODE_DISTRIBUTION	58512		1	
Analysis Services Project2		Process Events		1181	1181	7		Process = HPBPRO.EXE, User Name = SYSTEM, User Domain Name = NT AUTHORITY	0	0	Process = HPBPRO.EXE, User Name = SYSTEM, User Domain Name = NT AUTHORITY			0,35646912587284757	0,35646912587284757	NODE_DISTRIBUTION	58503		0,29705551172194267	
Analysis Services Project2		Process Events		1185	1185	7		Process = HPBPRO.EXE, User Domain Name = NT AUTHORITY, Status = Process Run	0	0	Process = HPBPRO.EXE, User Domain Name = NT AUTHORITY, Status = Process Run			0,35646912587284757	0,35646912587284757	NODE_DISTRIBUTION	58503		0,35652396446459261	
Analysis Services Project2		Process Events		1183	1183	7		Process = HPBPRO.EXE, User Name = SYSTEM, Status = Process Run	0	0	Process = HPBPRO.EXE, User Name = SYSTEM, Status = Process Run			0,35646912587284757	0,35646912587284757	NODE_DISTRIBUTION	58503		0,35652396446459261	
Analysis Services Project2		Process Events		1173	1173	7		Process = HPBPRO.EXE, User Name = SYSTEM	0	0	Process = HPBPRO.EXE, User Name = SYSTEM			0,35646912587284757	0,35646912587284757	NODE_DISTRIBUTION	58503		0,833327461374319	
Analysis Services Project2		Process Events		1174	1174	7		Process = HPBPRO.EXE, User Domain Name = NT AUTHORITY	0	0	Process = HPBPRO.EXE, User Domain Name = NT AUTHORITY			0,35646912587284757	0,35646912587284757	NODE_DISTRIBUTION	58503		0,833327461374319	
Analysis Services Project2		Process Events		1175	1175	7		Process = HPBPRO.EXE, Duration < 2827	0	0	Process = HPBPRO.EXE, Duration < 2827			0,35171035474475681	0,35171035474475681	NODE_DISTRIBUTION	57722		0,85187868928521315	
