MODEL_CATALOG	MODEL_SCHEMA	MODEL_NAME	ATTRIBUTE_NAME	NODE_NAME	NODE_UNIQUE_NAME	NODE_TYPE	NODE_GUID	NODE_CAPTION	CHILDREN_CARDINALITY	PARENT_UNIQUE_NAME	NODE_DESCRIPTION	NODE_RULE	MARGINAL_RULE	NODE_PROBABILITY	MARGINAL_PROBABILITY	NODE_DISTRIBUTION	NODE_SUPPORT	MSOLAP_MODEL_COLUMN	MSOLAP_NODE_SCORE	MSOLAP_NODE_SHORT_CAPTION
Analysis Services Project2		Process Events		0	0	1		Association Rules Model	654		Association Rules Model; ITEMSET_COUNT=355; RULE_COUNT=299; MIN_SUPPORT=280; MAX_SUPPORT=105226; MIN_ITEMSET_SIZE=0; MAX_ITEMSET_SIZE=3; MIN_PROBABILITY=0.402122641509434; MAX_PROBABILITY=1; MIN_LIFT=-0.1851332552503; MAX_LIFT=5.13502116023326			0	0	NODE_DISTRIBUTION	164118		0	
Analysis Services Project2		Process Events		96	96	7		Parent = Unknown Process	0	0	Parent = Unknown Process			0,64116062832839782	0,64116062832839782	NODE_DISTRIBUTION	105226		1	
Analysis Services Project2		Process Events		95	95	7		Process = HPBPRO.EXE	0	0	Process = HPBPRO.EXE			0,35652396446459256	0,35652396446459256	NODE_DISTRIBUTION	58512		1	
Analysis Services Project2		Process Events		94	94	7		Process = klnagent.exe	0	0	Process = klnagent.exe			0,21765437063576207	0,21765437063576207	NODE_DISTRIBUTION	35721		1	
Analysis Services Project2		Process Events		354	354	7		Process = klnagent.exe, Parent = Unknown Process	0	0	Process = klnagent.exe, Parent = Unknown Process			0,21744110944564277	0,21744110944564277	NODE_DISTRIBUTION	35686		0,64178946378183888	
Analysis Services Project2		Process Events		355	355	7		Process = HPBPRO.EXE, Parent = Unknown Process	0	0	Process = HPBPRO.EXE, Parent = Unknown Process			0,21315760611267504	0,21315760611267504	NODE_DISTRIBUTION	34983		1,0723948970857622	
Analysis Services Project2		Process Events		93	93	7		Parent = svchost.exe	0	0	Parent = svchost.exe			0,19262360009261628	0,19262360009261628	NODE_DISTRIBUTION	31613		1	
Analysis Services Project2		Process Events		92	92	7		User Domain Name = ACH	0	0	User Domain Name = ACH			0,16229176568079065	0,16229176568079065	NODE_DISTRIBUTION	26635		1	
Analysis Services Project2		Process Events		353	353	7		Parent = svchost.exe, Process = HPBPRO.EXE	0	0	Parent = svchost.exe, Process = HPBPRO.EXE			0,14336635835191752	0,14336635835191752	NODE_DISTRIBUTION	23529		0,47901704656462946	
Analysis Services Project2		Process Events		91	91	7		Parent = Explorer.EXE	0	0	Parent = Explorer.EXE			0,10560084817021899	0,10560084817021899	NODE_DISTRIBUTION	17331		1	
Analysis Services Project2		Process Events		351	351	7		Parent = Explorer.EXE, User Domain Name = ACH	0	0	Parent = Explorer.EXE, User Domain Name = ACH			0,10440049232869034	0,10440049232869034	NODE_DISTRIBUTION	17134		0,16415773263766678	
Analysis Services Project2		Process Events		90	90	7		Duration = 30083 - 37171	0	0	Duration = 30083 - 37171			0,059359728975493242	0,059359728975493242	NODE_DISTRIBUTION	9742		1	
Analysis Services Project2		Process Events		89	89	7		Duration = 2827 - 17332	0	0	Duration = 2827 - 17332			0,047484127274278261	0,047484127274278261	NODE_DISTRIBUTION	7793		1	
Analysis Services Project2		Process Events		88	88	7		Duration = 17332 - 30083	0	0	Duration = 17332 - 30083			0,042390231418857165	0,042390231418857165	NODE_DISTRIBUTION	6957		1	
Analysis Services Project2		Process Events		347	347	7		Duration = 30083 - 37171, Parent = Unknown Process	0	0	Duration = 30083 - 37171, Parent = Unknown Process			0,03739382639320489	0,03739382639320489	NODE_DISTRIBUTION	6137		1,017791566103186	
Analysis Services Project2		Process Events		87	87	7		Process = WINWORD.EXE	0	0	Process = WINWORD.EXE			0,034603151391072277	0,034603151391072277	NODE_DISTRIBUTION	5679		1	
Analysis Services Project2		Process Events		86	86	7		Process = userinit.exe	0	0	Process = userinit.exe			0,033280932012332592	0,033280932012332592	NODE_DISTRIBUTION	5462		1	
Analysis Services Project2		Process Events		319	319	7		Process = userinit.exe, Parent = Unknown Process	0	0	Process = userinit.exe, Parent = Unknown Process			0,033250466128029829	0,033250466128029829	NODE_DISTRIBUTION	5457		0,64174809454456838	
Analysis Services Project2		Process Events		339	339	7		Duration = 2827 - 17332, Parent = Unknown Process	0	0	Duration = 2827 - 17332, Parent = Unknown Process			0,030874127152414724	0,030874127152414724	NODE_DISTRIBUTION	5067		0,98609922568841613	
Analysis Services Project2		Process Events		322	322	7		Process = WINWORD.EXE, User Domain Name = ACH	0	0	Process = WINWORD.EXE, User Domain Name = ACH			0,030496350187060529	0,030496350187060529	NODE_DISTRIBUTION	5005		0,18414684061962239	
Analysis Services Project2		Process Events		85	85	7		Process = svchost.exe	0	0	Process = svchost.exe			0,028522160884241827	0,028522160884241827	NODE_DISTRIBUTION	4681		1	
Analysis Services Project2		Process Events		315	315	7		Process = svchost.exe, Parent = Unknown Process	0	0	Process = svchost.exe, Parent = Unknown Process			0,028509974530520722	0,028509974530520722	NODE_DISTRIBUTION	4679		0,641434687156493	
Analysis Services Project2		Process Events		332	332	7		Duration = 17332 - 30083, Parent = Unknown Process	0	0	Duration = 17332 - 30083, Parent = Unknown Process			0,025554783753153218	0,025554783753153218	NODE_DISTRIBUTION	4194		1,0635561495662049	
Analysis Services Project2		Process Events		321	321	7		Process = WINWORD.EXE, Parent = Explorer.EXE	0	0	Process = WINWORD.EXE, Parent = Explorer.EXE			0,025311056678731157	0,025311056678731157	NODE_DISTRIBUTION	4154		0,14436861260439907	
Analysis Services Project2		Process Events		327	327	7		Process = WINWORD.EXE, Parent = Explorer.EXE, User Domain Name = ACH	0	0	Process = WINWORD.EXE, Parent = Explorer.EXE, User Domain Name = ACH			0,025237938556404538	0,025237938556404538	NODE_DISTRIBUTION	4142		0,0056320763776589421	
Analysis Services Project2		Process Events		84	84	7		Process = Unknown Process	0	0	Process = Unknown Process			0,024384893795927322	0,024384893795927322	NODE_DISTRIBUTION	4002		1	
Analysis Services Project2		Process Events		305	305	7		Process = Unknown Process, Parent = Unknown Process	0	0	Process = Unknown Process, Parent = Unknown Process			0,024378800619066769	0,024378800619066769	NODE_DISTRIBUTION	4001		0,64132087842295638	
Analysis Services Project2		Process Events		83	83	7		Process = wmiprvse.exe	0	0	Process = wmiprvse.exe			0,024281309789297944	0,024281309789297944	NODE_DISTRIBUTION	3985		1	
Analysis Services Project2		Process Events		297	297	7		Process = wmiprvse.exe, Parent = svchost.exe	0	0	Process = wmiprvse.exe, Parent = svchost.exe			0,021618591501236916	0,021618591501236916	NODE_DISTRIBUTION	3548		0,21634866019421531	
Analysis Services Project2		Process Events		344	344	7		Duration = 30083 - 37171, User Domain Name = ACH	0	0	Duration = 30083 - 37171, User Domain Name = ACH			0,018803543791662096	0,018803543791662096	NODE_DISTRIBUTION	3086		0,51232870423274879	
Analysis Services Project2		Process Events		352	352	7		User Domain Name = ACH, Parent = Unknown Process	0	0	User Domain Name = ACH, Parent = Unknown Process			0,018090642098977566	0,018090642098977566	NODE_DISTRIBUTION	2969		5,7518738078568123	
Analysis Services Project2		Process Events		336	336	7		Duration = 2827 - 17332, User Domain Name = ACH	0	0	Duration = 2827 - 17332, User Domain Name = ACH			0,017115733801289317	0,017115733801289317	NODE_DISTRIBUTION	2809		0,45024554288017143	
Analysis Services Project2		Process Events		330	330	7		Duration = 17332 - 30083, User Domain Name = ACH	0	0	Duration = 17332 - 30083, User Domain Name = ACH			0,015391364749753226	0,015391364749753226	NODE_DISTRIBUTION	2526		0,44697696509946971	
Analysis Services Project2		Process Events		82	82	7		Process = Up2Date.exe	0	0	Process = Up2Date.exe			0,014733301648813658	0,014733301648813658	NODE_DISTRIBUTION	2418		1	
Analysis Services Project2		Process Events		343	343	7		Duration = 30083 - 37171, Parent = Explorer.EXE	0	0	Duration = 30083 - 37171, Parent = Explorer.EXE			0,014264127030551188	0,014264127030551188	NODE_DISTRIBUTION	2341		0,43945470434612283	
